"local_path","source_url","mime","width","height","duration","bytes","uploaded","used_on","status","caption"
"assets/gallery/festas/eduardo-rodrigues-festa-fantasia-debutante-2008.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-festa-fantasia-debutante-2008.jpg","image/jpeg","1200","900","","192040","2021-01-15","festas","in use","Apresentando Festa de Debutante em Buffet -São Paulo"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2011-policamp-v01-5.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2011-policamp-v01-5.jpg","image/jpeg","800","1200","","275487","2021-01-15","","in library, not shown on any page",""
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2011-policamp-v02-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2011-policamp-v02-3.jpg","image/jpeg","1200","800","","251183","2021-01-15","","in library, not shown on any page",""
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2011-policamp-v03-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2011-policamp-v03-3.jpg","image/jpeg","1200","800","","240582","2021-01-15","formaturas","in use","Cobrindo reportagem em TV Corporativa"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2011-policamp-v04-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2011-policamp-v04-3.jpg","image/jpeg","1200","800","","164419","2021-01-15","formaturas","in use","Em colação de grau, sendo parabenizado."
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2013-faj-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2013-faj-3.jpg","image/jpeg","1200","795","","128096","2021-01-15","formaturas","in use","No púlpito mais um evento"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2013-max-planck-v01-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2013-max-planck-v01-3.jpg","image/jpeg","1200","795","","123462","2021-01-15","","in library, not shown on any page",""
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2013-max-planck-v02-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2013-max-planck-v02-3.jpg","image/jpeg","1200","795","","161840","2021-01-15","formaturas","in use","Conduzindo formatura de 500 alunos da Unimax"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2014-faj-pronatec-4.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2014-faj-pronatec-4.jpg","image/jpeg","800","1200","","125827","2021-01-15","formaturas","in use","MC atuando"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2014-max-planck-v03-3.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2014-max-planck-v03-3.jpg","image/jpeg","800","1200","","137964","2021-01-15","formaturas","in use","Apresentação evento empresarial"
"assets/gallery/formaturas/eduardo-rodrigues-formaturas-2016-4.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-formaturas-2016-4.jpg","image/jpeg","1200","795","","237142","2021-01-15","formaturas","in use","Passando roteiro com a produção"
"assets/hero/eventos-corporativos-eduardo-rodrigues.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eventos-corporativos-eduardo-rodrigues.jpg","image/jpeg","1920","580","","144210","2021-01-08","home","in use",""
"assets/hero/locucao-eduardo-rodrigues.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/locucao-eduardo-rodrigues.jpg","image/jpeg","1920","580","","267476","2021-01-08","home","in use",""
"assets/hero/realizacao-de-congressos-eduardo-rodrigues.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/realizacao-de-congressos-eduardo-rodrigues.jpg","image/jpeg","1920","580","","136242","2021-01-08","home","in use",""
"assets/profile/Eduardo-Rodrigues-Web-radio-2009-02-scaled.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/Eduardo-Rodrigues-Web-radio-2009-02-scaled.jpg","image/jpeg","2560","1920","","330125","2021-01-08","","in library, not shown on any page",""
"assets/profile/IMG-20210325-WA0053.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/03/IMG-20210325-WA0053.jpg","image/jpeg","864","1152","","78866","2021-03-26","home","in use",""
